ingredient,frequency
wine,2
onion,6
carrot,1
brandy,1
garlic,6
black peppercorn,1
sprig parsley,1
bay leaf,1
beef,1
olive oil,6
bacon,3
flour,4
tomato paste,1
beef broth,2
butter,6
mushroom,1
eggplant,1
zucchini,1
bell pepper,1
tomato,5
thyme,3
sugar,5
baguette,1
gruyere,2
pie crust,1
gruyere cheese,1
egg,5
heavy cream,2
nutmeg,2
fish fillet,1
mussel,1
shrimp,1
fennel,1
saffron,1
fish stock,1
milk,2
bean,3
duck leg,1
sausage,1
pork,1
potato,4
reblochon cheese,1
cream,2
lemon zest,1
baking powder,1
cherry,1
vanilla,2
bread,1
ham,1
bechamel sauce,1
pasta,1
basil leaf,1
tuna,1
olive,1
anchovy,1
vinegar,1
mustard,1
egg yolk,1
