ingredient,frequency
eggplant,1
lamb,2
onion,6
garlic,4
tomato,3
tomato paste,1
wine,1
cinnamon,4
olive oil,10
bechamel sauce,2
kefalotyri cheese,1
pork or chicken,2
lemon,6
oregano,4
cucumber,2
kalamata olive,1
feta cheese,2
spinach,1
egg,3
dill,3
sheet phyllo dough,3
grape leaf,1
rice,2
onion finely,1
greek yogurt,1
lemon juice,1
pasta,1
beef,1
tomato sauce,2
cheese,1
walnut,1
butter,1
sugar,2
honey,2
flour,2
yeast,1
oil,1
bean,1
carrot,1
celery stalk,1
paprika,1
pita bread,1
tzatziki sauce,1
potato,1
kefalotyri or graviera cheese,1
chicken broth,1
milk,1
semolina,1
vanilla,1
sugar syrup,1
