ingredient,frequency
wine,7
onion,22
carrot,6
brandy,1
garlic,16
black peppercorn,1
sprig parsley,1
bay leaf,1
beef,4
olive oil,26
bacon,4
flour,14
tomato paste,2
beef broth,3
butter,12
mushroom,1
eggplant,2
zucchini,2
bell pepper,1
tomato,16
thyme,3
sugar,13
baguette,1
gruyere,2
pie crust,1
gruyere cheese,1
egg,13
heavy cream,4
nutmeg,2
fish fillet,1
mussel,1
shrimp,1
fennel,1
saffron,1
fish stock,1
milk,6
bean,5
duck leg,1
sausage,2
pork,3
potato,8
reblochon cheese,1
cream,2
lemon zest,1
baking powder,1
cherry,1
vanilla,4
bread,1
ham,1
bechamel sauce,4
pasta,5
basil leaf,4
tuna,1
olive,1
anchovy,1
vinegar,1
mustard,1
egg yolk,3
parsnip,1
paprika,9
caraway seed,2
pork or beef,1
yeast,3
oil,4
sour cream,5
cheese,2
carp,1
cabbage,1
rice,3
sauerkraut,1
chicken,1
chocolate,1
caramel,1
sponge cake,1
walnut,2
rum syrup,1
chocolate sauce,1
whipped cream,1
sour cherry,1
cottage cheese,2
pepper,1
jam or cocoa,1
lamb,2
cinnamon,4
kefalotyri cheese,1
pork or chicken,2
lemon,6
oregano,4
cucumber,2
kalamata olive,1
feta cheese,2
spinach,1
dill,3
sheet phyllo dough,3
grape leaf,1
onion finely,3
greek yogurt,1
lemon juice,2
tomato sauce,4
honey,2
celery stalk,4
pita bread,1
tzatziki sauce,1
kefalotyri or graviera cheese,1
chicken broth,1
semolina,1
sugar syrup,1
carrot finely,1
celery stalk finely,1
lasagna noodle,1
mozzarella shredded,1
parmesan,2
spaghetti,1
guanciale,1
pecorino romano,1
black,1
pizza dough,1
mozzarella,3
arborio rice,1
chicken broth warmed,1
saffron thread,1
parmesan cheese,2
veal,1
gremolata lemon zest garlic parsley,1
pine nut,1
mascarpone,1
espresso cooled,1
ladyfinger,1
cocoa powder,1
vegetable broth,1
rosemary,1
chicken breast pounded thin,1
caper,1
potato gnocchi,1
basil,1
cooked risotto,1
egg beaten,1
breadcrumb,1
gelatin,1
cold,1
cannellini bean,1
broth,1
