ingredient,frequency
beef,1
pork,1
onion finely,2
carrot finely,1
celery stalk finely,1
garlic,5
wine,4
tomato,5
milk,1
lasagna noodle,1
bechamel sauce,1
mozzarella shredded,1
parmesan,2
olive oil,10
spaghetti,1
guanciale,1
egg,1
egg yolk,2
pecorino romano,1
black,1
pizza dough,1
tomato sauce,2
mozzarella,3
basil leaf,3
arborio rice,1
butter,2
chicken broth warmed,1
saffron thread,1
parmesan cheese,2
veal,1
onion,3
carrot,3
celery stalk,3
beef broth,1
flour,4
gremolata lemon zest garlic parsley,1
pine nut,1
sugar,3
mascarpone,1
espresso cooled,1
ladyfinger,1
cocoa powder,1
heavy cream,2
potato,1
zucchini,1
bean,1
vegetable broth,1
pasta,2
yeast,1
rosemary,1
chicken breast pounded thin,1
lemon juice,1
caper,1
potato gnocchi,1
basil,1
cooked risotto,1
egg beaten,1
breadcrumb,1
oil,1
vanilla,1
gelatin,1
cold,1
cannellini bean,1
broth,1
